code,age,shoe,siblings,expGrade,petLove,extrovert,cookLove,spender,texts,politics,macLove,csLove,statisticsLove,mathLove,feelingsVt,steps,countries,states,live,studyRate,sleepRate,exerciseRate,anticSalary,quantGifted,artist,athlete,major,majorOther,yearSch,analyticCourses,usaProblem,whyClass,excitedClass,dataBoring,knowHd,lackMath,strengths,gains,polarStr2,polarStr0,polarGains2,polarGains0
E907,19.0,7.0,0,A,92,28,93.0,33.0,115.0,Independent,87.0,10.0,66.0,53.0,50,10000,5,23.0,3.0,30.0,55.0,6.0,200000.0,63.0,10.0,78.0,Social Science,Other,Second,1.0,Political Divide,You are curious about the content It meets a graduation requirement.,77,8.0,0.0,2.0,I am organized. I am willing to put in the work. I don't give up. I know how I study best. I am able to stay on top of things and work out a routine.,I hope to get stronger data analytic skills. I also would like to learn how to code more as I've previously enjoyed it. I want to feel more confident in analytics as an Econ major. I want to keep a 4.00. I want to make friends.,0.50709255283711,0.8451542547285166,0.7155417527999326,0.5962847939999439
0331,19.0,9.0,0,B+,100,30,55.0,61.0,60.0,Republican,58.02469135802469,50.0,50.0,40.0,70,7000,10,6.0,3.0,8.0,49.0,5.0,50000.0,50.0,0.0,52.78313253012048,Undeclared,Other,Second,1.0,Immigration,You are curious about the content It meets a graduation requirement.,60,4.0,3.211267605633803,5.0,My main strength as a student is time management. I can always plan my schedule around due dates to ensure I complete assignments on time. Another strength of mine is that once I grasp the concept of something I can get a much better understanding of the related topics. I think my final strength would be reflecting on my work and improving. If I know I'm struggling in a certain area I will focus on that area to try and improve it.,"I hope I can gain a stronger understanding of analyzing data from this class, as well as how data influences decisions. I plan to switch into financial accounting and I think that aspect would help a lot in my future career path. I also hope to gain the credit for the core requirements of the data and decisions minor that I am currently pursuing. I hope this course improves my critical thinking skills as well as my decision making skills. I hope to gain skills from this class I will be able to use in the future.",0.3312945782245396,0.3312945782245396,0.6092076990801715,0.6092076990801715
A357,18.0,10.5,1,A-,93,83,67.0,21.0,50.0,Independent,75.0,75.0,40.0,80.0,100,10000,5,9.0,4.0,15.0,55.0,10.5,100000.0,67.0,19.0,39.0,Math/Eng/Stat/CS,Other,First,1.0,Immigration,You are curious about the content It meets a graduation requirement.,75,5.0,3.0,1.0,"One of my strengths is that I'm not that bad at math. I'm usually a fast learner when it comes to most things. When Im in a pinch, I try to persevere. I am very dedicated to things I find interesting. I am flexible and eager to learn.",I hope to know more about what data science and how it works. I want to know how to apply data science to real life. I want to work on my communication skills. I also hope to work on my teamwork skills. I hope to know how to code better using datasets.,0.9814954576223638,0.5773502691896258,0.5547001962252291,0.5547001962252291
0424,20.0,12.0,2,A,100,51,67.0,29.0,20.0,Independent,20.0,74.0,71.0,71.0,89,8000,6,20.0,2.0,8.0,50.0,7.0,85000.0,71.0,42.0,98.0,Business,Other,Third,8.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),100,3.433734939759036,10.0,3.043478260869565,"I care very much about my studies at Virginia Tech. I am very passionate in what I am studying so that has definitely encouraged me to succeed in my classes to give me a better chance of excelling in the future. I have always enjoyed technical/mathematical courses; thus, I always participate a lot in these kinds of classes. I always contribute well to group projects/discussions and I am good at reaching out for help when needed.","I decided to add a data and decisions science minor and this is one of the classes that I have to take. I hope that this class allows me to expand on my technical knowledge and contribute to my data analytic skills. I also hope that I learn things that will help me excel in my tech consulting internship this upcoming summer. I look forward to the classes and hope to meet a lot of classmates. Lastly, I hope to have a fun project in which I can collaborate with classmates.",0.769948383218325,0.6793662204867574,0.2096569673443837,0.2096569673443837
7008,22.0,12.0,1,A,72,40,81.0,40.0,11816.51764705882,Democrat,58.02469135802469,60.0,61.0,72.0,81,-99,0,14.52941176470588,117650.2470588235,4.0,6.0,7.0,125102287.5,72.0,45.53164556962025,72.0,Other,Other,Fourth,3.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),82,0.0,3.211267605633803,3.043478260869565,,,0.0,0.0,0.0,0.0
AK28,19.0,11.0,1,A-,68,57,83.0,52.0,40.0,Democrat,100.0,51.0,77.0,27.0,93,8500,8,13.0,2.0,6.0,50.0,6.0,90000.0,26.0,57.0,5.0,Physical/Life Science,Other,Second,4.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),95,4.0,0.0,4.0,"As a student, I feel as if I'm able to sit attentively in class and be engaged while taking good notes. When it comes to after classes, I try my hardest to do homework immediately and not put it off. I so sometimes have the urge to procrastinate, but I know if I do I'm going to regret it. This shows that I'm a responsible student and have a good time management. I'm also good with interacting with my peers and making sure we can all work together.","From this class, I hope to gain much stronger data skills that will help me in my future. With the hope of doing something around the realm of epidemiology/research, having strong skills with data and coding will help me out tremendously. I want to know why exactly data is the way it is and have a stronger understanding of how important it is. Data is everywhere in our lives and I hope this class will help me understand this. I hope I can take what I learn from this class and apply it to my daily life as well as my future.",0.2132007163556104,0.2132007163556104,0.6897304947150052,0.6897304947150052
JA28,20.0,7.5,1,A-,70,60,70.0,50.0,100.0,Democrat,50.0,25.0,45.0,70.0,100,11000,4,15.0,5.0,7.0,45.0,9.0,70000.0,75.0,71.0,32.0,Undeclared,Other,First,4.0,Health Care Costs,You are curious about the content It meets a graduation requirement.,70,2.0,1.0,2.0,"As a student, I am very organized and make sure all my work is done on time. I keep multiple logs of my assignments and studying schedules. I use critical thinking to make sure I fully understand topics before moving on. I ask questions when I am confused. I feel that I give my full effort into every assignment and class.","I am hoping to learn and understand much more about attaining and analyzing data. I want to be able to feel confident in my skills and learning abilities. Hopefully by the end of the semester, I will feel confident and have thoroughly enjoyed this class. I hope to enjoy analyzing and organizing data and to have felt good about my abilities.",-0.128036879932896,-0.128036879932896,0.6401843996644799,0.6401843996644799
0829,29.0,6.0,0,A,100,9,70.0,70.0,3.0,Independent,100.0,100.0,95.0,70.0,75,3500,9,12.0,12.0,50.0,56.0,20.0,90000.0,75.0,50.0,0.0,Math/Eng/Stat/CS,Other,Fourth,14.0,Health Care Costs,Your friend is in the class.,85,0.0,10.0,1.0,"Iâ€™m a disciplined student who tries to stay consistent with my work, even when things get busy. Iâ€™m used to putting in extra time when assignments or projects are challenging, and I donâ€™t mind working through problems step by step. I manage my time carefully because I balance school with other responsibilities. When I make mistakes, I take time to understand what went wrong and fix it rather than moving on too quickly. Iâ€™m comfortable working independently, but I also appreciate feedback from instructors and classmates. Overall, my strength as a student comes from being steady, patient, and willing to keep working until I truly understand the material.","I want to learn how data is collected and used in real life, and how it can sometimes be misleading or biased. Iâ€™m interested in learning how to spot these issues and question data-driven claims instead of accepting them at face value. I also want to get better at explaining data clearly, especially to people without a technical background.",0.2834733547569204,0.2834733547569204,-0.128036879932896,-0.128036879932896
PP1J,24.0,10.5,1,A-,75,25,70.0,70.0,25.0,Independent,35.0,75.0,90.0,100.0,50,10000,8,15.0,6.0,21.0,50.0,10.0,100000.0,25.0,40.0,15.0,Math/Eng/Stat/CS,Other,Third,2.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),80,1.0,8.0,1.0,"Analytical skills, planning and organizational skills. Open to work with other students in group settings, and eagerness to better my learning in subjects I find interesting or helpful for my career.","Various methods of analyzing data, current world trends in data analysis and statistics via computing. New advancements in these fields to be aligned so that I am prepared for the transition to my career. Working with other students and learning from them. Learning about various modeling, and how to interpret data in a meaningful way. How to apply this class concepts in other Math and Computer Science classes to learn in depth.",0.8980265101338746,0.8980265101338746,0.1178511301977579,0.1178511301977579
JP23,21.0,10.0,2,A,100,80,67.0,20.0,30.0,Republican,10.0,50.0,90.0,70.0,100,10000,13,9.0,3.0,12.0,45.0,5.0,110000.0,90.0,25.0,70.0,Math/Eng/Stat/CS,Other,Third,3.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),80,3.0,4.0,3.043478260869565,I am a passionate student that is eager to learn always. I have good time management habits that make me exceed as a student. I have a sharp analytical foundation. I can translate theoretical mathematical models into practical solutions. I have great curiosity regarding behavioral science adds a unique dimension to your work.,I hope to understand further data analysis and interpretation. I hope to bridge the gap between theoretical data concepts and their practical applications. I want to explore more the ethical considerations in data management. I want to know how to transform raw numbers into compelling visual narratives. I want to gain the confidence to lead data-driven initiatives.,0.9615239476408232,0.9615239476408232,0.6302708777266682,0.5252257314388902
9286,18.3,11.0,1,A-,63,76,56.0,34.0,30.0,Democrat,50.0,66.0,70.0,66.0,90,10000,5,5.0,4.0,30.0,56.0,10.0,90000.0,58.0,59.0,81.0,Math/Eng/Stat/CS,Other,First,3.0,Immigration,You are curious about the content It meets a graduation requirement.,76,6.0,4.0,4.0,"As a student, one major strength that I believe to have is being able to complete tasks early. As soon as I get a task, I have the feeling to complete it as soon as possible. Additionally, another strength as a student is being able to manage time. Typically, I write a schedule for the following day the night before, which helps me stay on task and ensure I stay productive. Lastly, I also believe that I have patience. I believe that this is important because I understand the value of learning from other's perspectives, which can also directly influence mine and allow me to grow as a stronger individual.","In this class, I hope to gain more knowledge in computer science and expand my knowledge in Python. Additionally, as I plan on pursuing a Data and Decisions minor, I hope to understand how data analytics can play a crucial role in the modern world. I am also curious how data analytics can play a role in politics, as I believe that monitoring data can ensure what solutions could really work. I understand that this class will help me learn about how data is collected, cleaned, and interpreted, which is important because I also want to be able to detect bias and misrepresentations of data. Since data plays a huge role in technology and business, I want to learn how to communicate insights clearly and without bias. Overall, I hope this class helps me become a more data-literate person.",0.381385035698237,0.381385035698237,0.3887709571751176,0.253546276418555
CAB5,21.0,13.0,2,A,40,86,25.0,79.0,25.0,Democrat,58.02469135802469,30.0,70.0,40.0,95,10000,30,15.0,5.0,5.0,8.0,15.0,85000.0,75.0,65.0,100.0,Business,Other,Fourth,2.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),91,5.0,0.0,3.043478260869565,"I would say that I am a hardworking student. I do enjoy playing sports, and balancing my social life but at the end of the day I make sure to always do my classwork and homework first before I allow myself to do fun social things.","I honestly am doing this class as a required class of my minor. I hope that it is not too intensive, the senioritice is definitely in affect but I will make sure all of my work is in on time and I am giving the proper time for each assignment.",0.2948839123097943,0.2948839123097943,0.282842712474619,0.282842712474619
1478,21.0,12.0,2,A,85,80,65.04705882352941,52.24705882352941,7.0,Independent,50.0,100.0,65.0,60.0,70,-99,6,9.0,3.0,8.0,9.0,0.0,10000000000.0,60.0,50.0,100.0,Math/Eng/Stat/CS,Other,Fourth,3.0,Political Divide,You are curious about the content It meets a graduation requirement.,70,3.433734939759036,10.0,3.043478260869565,I think i'm easy to work with and respond to feedback well. I believe I am smart but there are definitely people way smarter then me. I think I'm very well rounded I have a pretty diverse technical background but I also feel as if I get along with people really well and have a number of interests/knowledge about certain topics that I believe allow me to get along with different types of people. I believe I am a hard worker (although senioritis is starting to kick in) and I also think I have good leadership qualities (because i've specifically worked to develop them).,Honestly I'm not sure. I have a lot of interest in the finance and tech world so I look forward to any course tech related. I wasn't really thinking much when I selected this course I needed to fulfill a pathway but I think the way thing are starting off with this survey and the labs you mentioned have definitely peaked my interest.,1.034454077325445,0.8783100656536799,0.0,0.0
1AJ4,21.6,11.0,1,A,45,77,62.0,10.0,300.0,Independent,92.0,65.0,85.0,97.0,95,3000,16,21.0,3.0,33.0,52.0,8.0,100000.0,100.0,5.0,96.0,Math/Eng/Stat/CS,Other,Fourth,5.0,Political Divide,You are curious about the content It meets a graduation requirement.,77,3.433734939759036,6.0,3.043478260869565,"I am a leader in any group. I am a good test taker. By attending class and doing homework, I learn the content without the need for many extra hours of studying. I am very good with numbers, and enjoy numbers classes.",I hope to learn how to use coding to analyze large datasets. To interpret and present data. Learn where to find the necessary data. Learn how to collect data.,0.5863527298559492,0.4629100498862757,0.0,0.0
ICKY,19.0,9.0,1,A-,100,50,50.0,45.0,50.0,Democrat,80.0,50.0,50.0,40.0,100,7000,2,10.0,1.0,4.0,56.0,5.0,90000.0,50.0,30.0,65.0,Other,Other,Second,1.0,Political Divide,You are curious about the content It meets a graduation requirement.,45,4.0,1.0,5.0,I am a good communicator. I have good time management skills. I have good organization skills. I have good attention to detail. I put in a lot of effort to get good grades.,I hope to gain coding skills. I hope to gain more analyzing skills. I hope to gain the ability the interpret data. I hope to gain new perspectives. I hope to improve my math skills.,0.8703882797784892,0.8703882797784892,0.9803789354850792,0.8451542547285166
0316,19.0,11.0,2,B+,78,82,75.0,30.0,30.0,Independent,80.0,55.0,65.0,85.0,73,8000,2,12.0,1.0,25.0,45.0,4.0,80000.0,82.0,42.0,40.0,Business,Other,Second,1.0,Political Divide,You are curious about the content It meets a graduation requirement.,85,3.0,1.0,2.0,"I believe some of my strengths are my mindset, desire to learn, and ability to set time aside for studying. I like to enjoy the process rather than trying to get things done as soon as possible. If I know my upcoming week will be stressful, I try to plan for it and schedule the week so I can get everything done, while etting time aside for things I enjoy like going to the driving range or go skiing. I love learning new things both in and out of the classroom, whether I'm trying to become a pro at it or not. I also believe procrastination is the biggest challenge people, especially students, face in today's world. With social media and other entertainment apps being so easily acceptable and relatable, it's difficult to overcome procrastination. Another strength is the ability to not procrastinate or at least try to minimize it (always trying to improve).","I hope to learn more about making better decisions using LLMs. Building trust with AI can be a problem, I've been lied to when I ask it questions. I want to learn more about the use of Big Data and how we can make effective decisions using the data. I believe we are currently in another industrial revolution, and the next generation of society must be able to analyze the use of AI, automation, and data. Theres so much fraud and errors in the world using AI and data today, and I believe this class with help me understand and prepare for what's to come in the next few years.",0.2417468892076141,0.08058229640253803,-0.09534625892455924,-0.09534625892455924
9004,21.0,9.0,3,A-,95,10,85.0,30.0,10.0,Democrat,97.0,10.0,50.0,60.0,80,8000,13,10.0,5.0,15.0,40.10176470588235,7.3,125102287.5,82.0,25.0,11.0,Social Science,Other,Fourth,2.0,Health Care Costs,You are curious about the content It meets a graduation requirement.,84,5.0,0.0,7.0,"I am usually very organized which means I tend to start early on assignments and am able to schedule out my study time in order to get everything done on time. I am also a little bit of a perfectionist and will put a lot of effort into classes, especially ones where I don't have a lot of previous experience with the material. I also tend to take a lot of notes in class which is useful when completing assignments or studying for exams.","I do not have any experience with coding, so I hope that through this class I am able to at least get a little bit familiar with it. I have also taken a couple of statistic courses in the past, but since I am a social studies student I have not a had a ton of opportunity to work with and analyze data. I would like to get a little more familiar with analyzing data, since I am sure it will be a valuable skill no matter what field I go into.",0.1091089451179962,0.1091089451179962,0.0,0.4170288281141495
2255,20.0,11.0,1,A,100,59,53.0,28.0,3.0,Independent,74.0,29.0,69.0,29.0,83,8000,1,5.0,3.0,10.0,8.0,7.0,60000.0,22.0,61.0,60.0,Business,Other,Third,1.0,Immigration,You are curious about the content It meets a graduation requirement.,73,4.0,2.0,6.0,"For my strengths as a student I think that I excel best when I am given a specific task that I have to complete, The clear path makes it easier for me to accomplish. The clear path lets me stay effective and also creative in a group setting where I strive best. I am a teammate who is best at problem solving when there is obstacles. another one of my strengths is I am good at simplifying complex task that I understand well making it easier for me to understand. These help me stay organized and a good team player.",I want to expand my technical knowledge by gaining the understand of R. I also want to learn how to simplify messy data to make it easier to read. I also want to learn easier ways to see Biases in data so I know it is fair information. Finally I want a project I can add to my resume to display what I have learned. working with a group to do so.,1.3,1.3,0.3535533905932738,0.3535533905932738
0220,18.0,10.0,1,A,51,80,52.0,11.0,50.0,Democrat,53.0,15.0,51.0,70.0,93,12000,8,12.0,1.0,7.0,54.0,6.0,100000.0,57.0,30.0,75.0,Math/Eng/Stat/CS,Other,First,3.0,Political Divide,You are curious about the content It meets a graduation requirement.,65,2.0,3.0,3.0,I think that I am pretty good at time managment. I also am good at doing my homework on time. I also think that I am pretty motivated and want to do good in all my courses. I also love to study with myself and still am good to study and work with others. Being in clubs and organizations taught me to work well with others.,"I want to get better at studying for test. I think there still is a way where I can take in more information in a shorter amount of time. I also want to learn more about data analysis. I feel like it could be really useful in my career as well as just as a life skill. I hope that this class gives me good information about data analysis and coding,",1.35400640077266,1.35400640077266,0.8070115275718202,0.7120689949163119
FMZB,22.0,11.0,3,A-,80,100,100.0,60.0,50.0,Independent,50.0,40.0,60.0,10.0,90,-99,16,35.0,2.0,30.0,56.0,7.0,90000.0,10.0,70.0,70.0,Business,Other,Fourth,5.0,Political Divide,You think that this class might help you in the future (e.g. in your future courses or career),100,0.0,6.0,1.0,"My strength is a student would have to include my ability to not give up when facing a problem. I like to fully complete whatever I'm doing, even if I end up failing, because it teaches me a lesson on how to not fail the next time. I enjoy being thorough and looking up all the information and instructions I need. I also enjoy asking lots of questions as a student, as that helps me to be consistent and proper with whatever work I'm doing. I also really know how to use my resources, and currently, in today's day, that includes AI as well as textbooks and teacher resources like TAS and online discussions, etc.","I hope to build a stronger foundation in understanding how different types of data are collected, analyzed, and interpreted. I want to become more confident working with structured, text, and image data so I can apply these skills in real-world projects. Iâ€™m also interested in learning R, since I know it will be valuable for analytics and data science work. Another goal of mine is to better understand how to identify bias and think critically about the ethical side of data. Iâ€™m hoping this class helps me improve the way I communicate insights clearly and responsibly. Overall, I want to walk away with practical skills that better prepare me for future CMDA, BIT, and analytics courses, as well as industry projects.",0.6527533657682196,0.4662524041201569,0.9698686309445846,0.8980265101338746
